NPI,Surgeon,Surgeon Specialty,Surgeon Case Volume,Practice Name,Address,Suite,City,State,Zip,Practice Name,Address,Suite,City,State,Zip,Practice Address 1,Practice Address 2,Practice City,Practice State,Practice Zip Code,Practice Phone Number,Practice Fax Number
1437307592,"DRISCOLL, MATTHEW",SN ORTHOPEDIC,79,,,,,,,,,,,,,,,,,,,
1699118844,"DANTHULURI, VISHWANATH RAJU",SN GENERAL SURGERY,77,,,,,,,,,,,,,,,,,,,
1740631548,"DOMINGUEZ, ROBERT SCOTT",SN PODIATRY,77,,,,,,,,,,,,,,,,,,,
1538498563,"ASHOUR, RAMSEY RAFEEK",SN NEUROSURGERY,75,,,,,,,,,,,,,,,,,,,
1568447670,"HSU, CHIA-WEN",SN GASTROENTEROLOGY,75,,,,,,,,,,,,,,,,,,,
1245529767,"JONNA, GOWTHAM",SN OPHTHALMOLOGY,75,,,,,,,,,,,,,,,,,,,
1174639801,"GARCIA, JOSEPH",SN GENERAL SURGERY,73,,,,,,,,,,,,,,,,,,,
1043471824,"MCCOIN, MEGAN LYN",SN GYNECOLOGY,72,,,,,,,,,,,,,,,,,,,
1356313043,"HOENICKE, ERIC M.",SN CARDIOTHORACIC,69,,,,,,,,,,,,,,,,,,,
1942214788,"KIRKLAND, HUNTER Q.",SN CARDIOTHORACIC,68,,,,,,,,,,,,,,,,,,,
1205221652,"EPSTEIN, ALIZA",SN OPHTHALMOLOGY,67,,,,,,,,,,,,,,,,,,,
1285609735,"GOOCH, JASON LEE",SN GYNECOLOGY,66,,,,,,,,,,,,,,,,,,,
1982614020,"BLAIS, ROBERT E",SN ORTHOPEDIC,65,,,,,,,,,,,,,,,,,,,
1518126234,"NATION, DAVID ANDREW",SN CARDIOVASCULAR,63,,,,,,,,,,,,,,,,,,,
1801834809,"TENERIELLO, MICHAEL GUY",SN GYNECOLOGY,63,,,,,,,,,,,,,,,,,,,
1730170622,"BLAYDON, SEAN MATTHEW",SN OPHTHALMOLOGY,62,,,,,,,,,,,,,,,,,,,
1275699274,"WONG, ROBERT",SN OPHTHALMOLOGY,62,,,,,,,,,,,,,,,,,,,
